实体名,实体参数,参数类型
user,"['username', 'password', 'updated_time', 'created_time']","['string', 'string', 'float', 'float']"
project,"['project_id', 'project_name', 'province', 'city', 'district', 'address', 'region_id', 'leader', 'mobile', 'upload_platforms', 'is_deleted', 'updated_time', 'created_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'bool', 'float', 'float']"
camera,"['camera_id', 'project', 'identify_ip', 'identify_port', 'address', 'road_name', 'work_time', 'upload_cycle', 'work_status', 'network_status', 'camera_num', 'camera_brand', 'camera_model', 'power_type', 'spot_nums', 'reg_code', 'coordinate', 'draw_status', 'context', 'created_user', 'updated_user', 'created_time', 'updated_time']","['string', 'object', 'string', 'string', 'string', 'string', 'string', 'integer', 'integer', 'integer', 'integer', 'object', 'object', 'integer', 'string', 'string', 'string', 'interger', 'array', 'object', 'object', 'float', 'float']"
cameramodel,"['camera_model_id', 'camera_brand', 'model_name', 'updated_time', 'created_time']","['string', 'object', 'string', 'float', 'float']"
camerabrand,"['camera_brand_id', 'project', 'brand_name', 'brand_short', 'updated_time', 'created_time']","['string', 'object', 'string', 'string', 'float', 'float']"
uploadimage,"['image_id', 'camera', 'image_url', 'updated_time', 'created_time']","['string', 'object', 'string', 'float', 'float']"
spot,"['spot_id', 'camera', 'spot_num', 'draw_status', 'draw_coordinate', 'updated_time', 'created_time']","['string', 'object', 'string', 'integer', 'string', 'float', 'float']"
parkingrecord,"['parking_record_id', 'vehicle_id', 'car_id', 'spot_num', 'entry_time', 'exit_time', 'stop_time', 'reg_code', 'vehicle_type', 'created_time', 'updated_time']","['string', 'string', 'string', 'string', 'float', 'float', 'string', 'string', 'string', 'float', 'float']"
spotrecord,"['spot_record_id', 'spot_num', 'reg_code', 'stop_num', 'stop_time', 'created_time', 'updated_time']","['string', 'string', 'string', 'integer', 'string', 'float', 'float']"
实体名,实体参数,参数类型
user,"['username', 'password', 'updated_time', 'created_time']","['string', 'string', 'float', 'float']"
project,"['project_id', 'project_name', 'province', 'city', 'district', 'address', 'region_id', 'leader', 'mobile', 'upload_platforms', 'is_deleted', 'updated_time', 'created_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'bool', 'float', 'float']"
camera,"['camera_id', 'project', 'identify_ip', 'identify_port', 'address', 'road_name', 'work_time', 'upload_cycle', 'work_status', 'network_status', 'camera_num', 'camera_brand', 'camera_model', 'power_type', 'spot_nums', 'reg_code', 'coordinate', 'draw_status', 'context', 'created_user', 'updated_user', 'created_time', 'updated_time']","['string', 'object', 'string', 'string', 'string', 'string', 'string', 'integer', 'integer', 'integer', 'integer', 'object', 'object', 'integer', 'string', 'string', 'string', 'interger', 'array', 'object', 'object', 'float', 'float']"
cameramodel,"['camera_model_id', 'camera_brand', 'model_name', 'updated_time', 'created_time']","['string', 'object', 'string', 'float', 'float']"
camerabrand,"['camera_brand_id', 'project', 'brand_name', 'brand_short', 'updated_time', 'created_time']","['string', 'object', 'string', 'string', 'float', 'float']"
uploadimage,"['image_id', 'camera', 'image_url', 'updated_time', 'created_time']","['string', 'object', 'string', 'float', 'float']"
spot,"['spot_id', 'camera', 'spot_num', 'draw_status', 'draw_coordinate', 'updated_time', 'created_time']","['string', 'object', 'string', 'integer', 'string', 'float', 'float']"
parkingrecord,"['parking_record_id', 'vehicle_id', 'car_id', 'spot_num', 'entry_time', 'exit_time', 'stop_time', 'reg_code', 'vehicle_type', 'created_time', 'updated_time']","['string', 'string', 'string', 'string', 'float', 'float', 'string', 'string', 'string', 'float', 'float']"
spotrecord,"['spot_record_id', 'spot_num', 'reg_code', 'stop_num', 'stop_time', 'created_time', 'updated_time']","['string', 'string', 'string', 'integer', 'string', 'float', 'float']"
